round_epochs,loss,PR_AUC,ROC_AUC,val_loss,val_PR_AUC,val_ROC_AUC,activation1,activation2,batch_size,dropout1,dropout2,epochs,losses,neurons1,neurons2,optimizer
8,0.06014504779829381,0.6461632,0.8803119,0.00033763930051075775,0.6342575,0.88156396,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,16,0.1,0.2,64,<function logcosh at 0x7fdf83cefc20>,64,8,RMSprop
19,0.025048905445189878,0.57006675,0.96602625,0.00804160115514992,0.64143944,0.9559709,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,1024,0.5,0.30000000000000004,82,<function logcosh at 0x7fdf83cefc20>,64,16,Adam
29,0.21427799399658984,0.7088211,0.97030306,0.17826562552682196,0.6486374,0.95811236,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,16,0.4,0.4,82,<function binary_crossentropy at 0x7fdf83cefdd0>,32,16,Adam
7,0.3112197416123517,0.6591238,0.946275,0.22663127195309404,0.6803049,0.9502057,<function sigmoid at 0x7fdf812db560>,<function relu at 0x7fdf812db440>,1024,0.1,0.2,28,<function binary_crossentropy at 0x7fdf83cefdd0>,128,16,Adam
32,0.20645638762238092,0.5694674,0.96830726,0.06565224681856921,0.6662046,0.956772,<function sigmoid at 0x7fdf812db560>,<function relu at 0x7fdf812db440>,128,0.5,0.5,82,<function binary_crossentropy at 0x7fdf83cefdd0>,8,128,Adam
82,0.03474406646999423,0.6583005,0.9509109,0.011689788478004491,0.663909,0.9528168,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,4096,0.30000000000000004,0.2,82,<function logcosh at 0x7fdf83cefc20>,8,16,Adam
13,0.02964642007666859,0.6335585,0.95871633,0.0007314805288858836,0.6729982,0.9561459,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,512,0.5,0.1,46,<function logcosh at 0x7fdf83cefc20>,16,128,RMSprop
6,0.7246392151893832,0.28501552,0.808134,0.13478708356983723,0.6642246,0.94512814,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,64,0.5,0.1,28,<function binary_crossentropy at 0x7fdf83cefdd0>,32,8,RMSprop
13,0.027512535272355868,0.58869225,0.9697948,0.013840281150226817,0.64230466,0.95383435,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,1024,0.1,0.2,46,<function logcosh at 0x7fdf83cefc20>,64,8,Adam
46,0.041874757867639605,0.7218386,0.9721628,0.028013625462830052,0.67145824,0.95061576,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,512,0.2,0.30000000000000004,46,<function logcosh at 0x7fdf83cefc20>,16,128,SGD
12,0.12035280687327918,0.0023694544,0.56739306,0.11007813706839016,0.61428046,0.9166609,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,2048,0.30000000000000004,0.5,64,<function logcosh at 0x7fdf83cefc20>,16,128,SGD
35,0.26452242204789517,0.6138005,0.94690245,0.13892913203332752,0.65398616,0.95214224,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,4096,0.4,0.5,82,<function binary_crossentropy at 0x7fdf83cefdd0>,64,128,Adam
